account_id,customer_id,account_type,account_status,opening_balance_inr,currency,open_date,home_branch_city
ACC00000042,CUST000042,Savings,Dormant,43884.55,INR,2022-03-12,Chennai
ACC00000043,CUST000043,Salary,Dormant,13014.25,INR,2025-07-08,Bengaluru
ACC00000044,CUST000044,Savings,Active,9228.08,INR,2022-04-28,Chennai
ACC00000045,CUST000045,Salary,Active,19618.81,INR,2022-05-15,Mumbai
ACC00000046,CUST000046,Savings,Active,8636.91,INR,2025-11-25,Delhi
ACC00000047,CUST000047,Savings,Active,9384.8,INR,2025-10-05,Delhi
ACC00000048,CUST000048,Savings,Active,113296.01,INR,2025-07-25,Bengaluru
ACC00000049,CUST000049,Current,Dormant,57699.52,INR,2022-09-12,Bengaluru
ACC00000050,CUST000050,Savings,Active,8426.07,INR,2020-11-27,Bengaluru
ACC00000051,CUST000051,Savings,Active,15161.13,INR,2022-08-05,Delhi
ACC00000052,CUST000052,Salary,Dormant,182782.71,INR,2022-11-14,Mumbai
ACC00000053,CUST000053,Savings,Active,58649.87,INR,2025-06-09,Bengaluru
ACC00000054,CUST000054,Savings,Active,13351.4,INR,2024-10-09,Mumbai
ACC00000055,CUST000055,Savings,Active,22391.22,INR,2020-12-08,Chennai
ACC00000056,CUST000056,Savings,Active,32821.79,INR,2021-09-25,Chennai
ACC00000057,CUST000057,Salary,Active,20858.48,INR,2024-12-25,Mumbai
ACC00000058,CUST000058,Salary,Active,99849.29,INR,2022-10-12,Chennai
ACC00000059,CUST000059,Savings,Active,46411.64,INR,2025-09-06,Hyderabad
ACC00000060,CUST000060,Savings,Active,21836.51,INR,2019-08-23,Chennai
ACC00000061,CUST000061,Savings,Dormant,5497.49,INR,2024-10-05,Bengaluru
ACC00000062,CUST000062,Savings,Active,13446.69,INR,2025-03-13,Delhi
ACC00000063,CUST000063,Current,Active,111556.07,INR,2025-01-07,Delhi
ACC00000064,CUST000064,Savings,Active,43778.78,INR,2022-01-25,Hyderabad
ACC00000065,CUST000065,Salary,Active,60414.43,INR,2022-06-18,Hyderabad
ACC00000066,CUST000066,Savings,Dormant,131031.37,INR,2019-07-01,Chennai
ACC00000067,CUST000067,Savings,Dormant,3586.33,INR,2021-01-29,Chennai
ACC00000068,CUST000068,Savings,Active,10440.79,INR,2019-05-02,Mumbai
ACC00000069,CUST000069,Savings,Active,15615.95,INR,2020-04-24,Chennai
ACC00000070,CUST000070,Salary,Dormant,14768.15,INR,2023-10-31,Bengaluru
ACC00000071,CUST000071,Savings,Active,5672.63,INR,2021-02-06,Mumbai
ACC00000072,CUST000072,Current,Active,19048.42,INR,2024-05-14,Hyderabad
ACC00000073,CUST000073,Current,Dormant,96142.83,INR,2024-10-04,Bengaluru
ACC00000074,CUST000074,Savings,Active,16043.65,INR,2023-04-23,Chennai
ACC00000075,CUST000075,Savings,Active,7367.52,INR,2024-07-05,Mumbai
ACC00000076,CUST000076,Savings,Dormant,17008.54,INR,2023-03-02,Mumbai
ACC00000077,CUST000077,Current,Active,19157.02,INR,2020-03-08,Bengaluru
ACC00000078,CUST000078,Savings,Dormant,42111.51,INR,2025-07-13,Bengaluru
ACC00000079,CUST000079,Savings,Active,10649.16,INR,2021-07-17,Bengaluru
ACC00000080,CUST000080,Savings,Active,14836.89,INR,2021-01-05,Mumbai
ACC00000081,CUST000081,Savings,Active,8557.78,INR,2025-04-08,Bengaluru
ACC00000082,CUST000082,Salary,Dormant,36068.16,INR,2020-05-14,Mumbai
ACC00000083,CUST000083,Savings,Active,8330.2,INR,2022-08-11,Chennai
ACC00000084,CUST000084,Savings,Active,8437.81,INR,2020-06-03,Chennai
ACC00000085,CUST000085,Current,Active,17306.29,INR,2022-06-05,Hyderabad
ACC00000086,CUST000086,Savings,Dormant,42969.24,INR,2020-05-31,Bengaluru
ACC00000087,CUST000087,Savings,Active,14227.26,INR,2021-07-07,Mumbai
ACC00000088,CUST000088,Savings,Active,46448.84,INR,2025-07-01,Mumbai
ACC00000089,CUST000089,Savings,Dormant,48333.11,INR,2019-09-11,Bengaluru
ACC00000090,CUST000090,Savings,Active,235206.37,INR,2019-06-18,Delhi
ACC00000091,CUST000091,Current,Dormant,46829.44,INR,2025-04-22,Hyderabad
ACC00000092,CUST000092,Savings,Active,79872.41,INR,2022-10-07,Hyderabad
ACC00000093,CUST000093,Savings,Dormant,7521.37,INR,2023-02-17,Delhi
ACC00000094,CUST000094,Savings,Active,14567.5,INR,2020-09-16,Mumbai
ACC00000095,CUST000095,Current,Active,37808.77,INR,2024-01-16,Delhi
ACC00000096,CUST000096,Salary,Dormant,31156.54,INR,2022-12-12,Hyderabad
ACC00000097,CUST000097,Savings,Active,27686.61,INR,2024-06-06,Delhi
ACC00000098,CUST000098,Savings,Active,10458.56,INR,2024-09-09,Bengaluru
ACC00000099,CUST000099,Savings,Active,109681.65,INR,2020-02-11,Delhi
ACC00000100,CUST000100,Savings,Dormant,70891.14,INR,2019-09-07,Mumbai
ACC00000101,CUST000101,Current,Dormant,6912.23,INR,2021-10-22,Delhi
ACC00000102,CUST000102,Current,Dormant,124072.58,INR,2020-01-16,Delhi
ACC00000103,CUST000103,Savings,Dormant,16697.41,INR,2019-04-21,Mumbai
ACC00000104,CUST000104,Savings,Active,12423.35,INR,2023-05-08,Bengaluru
ACC00000105,CUST000105,Salary,Dormant,20514.36,INR,2020-02-15,Bengaluru
ACC00000106,CUST000106,Savings,Active,30136.61,INR,2022-04-21,Mumbai
ACC00000107,CUST000107,Current,Dormant,14612.16,INR,2023-04-15,Chennai
ACC00000108,CUST000108,Current,Dormant,92026.38,INR,2022-06-01,Hyderabad
ACC00000109,CUST000109,Savings,Active,7808.38,INR,2023-02-13,Delhi
ACC00000110,CUST000110,Savings,Active,4994.11,INR,2025-11-26,Hyderabad
ACC00000111,CUST000111,Current,Active,139819.99,INR,2024-10-21,Mumbai
ACC00000112,CUST000112,Savings,Dormant,43969.86,INR,2025-05-18,Mumbai
ACC00000113,CUST000113,Savings,Active,95569.43,INR,2022-11-11,Chennai
ACC00000114,CUST000114,Salary,Active,44795.37,INR,2020-05-22,Bengaluru
ACC00000115,CUST000115,Savings,Dormant,65206.36,INR,2021-03-01,Hyderabad
ACC00000116,CUST000116,Savings,Active,20593.39,INR,2025-09-17,Mumbai
ACC00000117,CUST000117,Savings,Dormant,21213.75,INR,2024-05-15,Mumbai
ACC00000118,CUST000118,Savings,Dormant,14990.03,INR,2022-04-13,Chennai
ACC00000119,CUST000119,Salary,Active,80629.49,INR,2022-05-09,Delhi
ACC00000120,CUST000120,Savings,Active,126472.6,INR,2023-04-17,Bengaluru
ACC00000121,CUST000121,Salary,Active,23260.06,INR,2024-10-12,Hyderabad
ACC00000122,CUST000122,Savings,Active,12523.38,INR,2022-02-20,Mumbai
ACC00000123,CUST000123,Savings,Active,24650.37,INR,2025-10-02,Bengaluru
ACC00000124,CUST000124,Savings,Active,5968.78,INR,2023-10-17,Delhi
ACC00000125,CUST000125,Savings,Active,15936.97,INR,2022-02-07,Bengaluru
ACC00000126,CUST000126,Savings,Active,9817.82,INR,2019-10-14,Hyderabad
ACC00000127,CUST000127,Salary,Dormant,46268.29,INR,2024-02-17,Mumbai
ACC00000128,CUST000128,Current,Dormant,36190.66,INR,2019-11-18,Hyderabad
ACC00000129,CUST000129,Savings,Active,11093.19,INR,2024-06-11,Hyderabad
ACC00000130,CUST000130,Current,Dormant,6075.57,INR,2020-07-08,Hyderabad
ACC00000131,CUST000131,Savings,Active,55912.74,INR,2025-04-18,Chennai
ACC00000132,CUST000132,Salary,Active,1795.87,INR,2021-12-18,Bengaluru
ACC00000133,CUST000133,Savings,Active,11916.73,INR,2025-11-30,Bengaluru
ACC00000134,CUST000134,Salary,Active,44400.51,INR,2025-03-28,Chennai
ACC00000135,CUST000135,Current,Active,17216.88,INR,2022-11-25,Mumbai
ACC00000136,CUST000136,Salary,Active,18564.41,INR,2020-06-15,Delhi
ACC00000137,CUST000137,Salary,Active,100982.15,INR,2025-10-26,Chennai
ACC00000138,CUST000138,Savings,Active,39234.54,INR,2022-11-23,Mumbai
ACC00000139,CUST000139,Savings,Active,4918.7,INR,2024-08-31,Mumbai
ACC00000140,CUST000140,Salary,Active,42323.57,INR,2021-03-11,Bengaluru
ACC00000141,CUST000141,Savings,Active,1443.48,INR,2019-10-22,Delhi
ACC00000142,CUST000142,Savings,Dormant,10089.93,INR,2025-03-26,Delhi
ACC00000143,CUST000143,Current,Active,64827.91,INR,2025-12-07,Delhi
ACC00000144,CUST000144,Salary,Active,777.47,INR,2022-11-13,Mumbai
ACC00000145,CUST000145,Savings,Active,4975.58,INR,2023-05-09,Bengaluru
ACC00000146,CUST000146,Savings,Active,23715.21,INR,2023-09-05,Delhi
ACC00000147,CUST000147,Current,Active,8923.26,INR,2025-08-28,Delhi
ACC00000148,CUST000148,Salary,Active,4797.52,INR,2025-10-05,Mumbai
ACC00000149,CUST000149,Savings,Active,26615.11,INR,2023-08-07,Hyderabad
ACC00000150,CUST000150,Savings,Active,89923.57,INR,2021-09-19,Bengaluru
ACC00000151,CUST000151,Savings,Active,73295.17,INR,2024-03-20,Mumbai
ACC00000152,CUST000152,Current,Active,61024.5,INR,2022-01-23,Chennai
ACC00000153,CUST000153,Current,Active,19300.37,INR,2025-05-04,Mumbai
ACC00000154,CUST000154,Salary,Dormant,17784.56,INR,2020-07-17,Bengaluru
ACC00000155,CUST000155,Salary,Active,248824.09,INR,2019-08-31,Mumbai
ACC00000156,CUST000156,Savings,Active,16967.97,INR,2025-12-28,Mumbai
ACC00000157,CUST000157,Savings,Active,17744.61,INR,2022-06-07,Bengaluru
ACC00000158,CUST000158,Savings,Dormant,19145.98,INR,2024-03-30,Mumbai
ACC00000159,CUST000159,Savings,Active,17890.39,INR,2021-12-17,Mumbai
ACC00000160,CUST000160,Savings,Active,8728.31,INR,2021-09-23,Bengaluru
ACC00000161,CUST000161,Savings,Active,121025.82,INR,2019-10-19,Mumbai
ACC00000162,CUST000162,Salary,Active,108972.08,INR,2023-08-19,Hyderabad
ACC00000163,CUST000163,Savings,Active,5448.23,INR,2020-03-06,Delhi
ACC00000164,CUST000164,Savings,Active,30321.61,INR,2021-05-25,Bengaluru
ACC00000165,CUST000165,Savings,Active,6164.85,INR,2025-10-12,Bengaluru
ACC00000166,CUST000166,Salary,Dormant,7615.46,INR,2020-07-28,Chennai
ACC00000167,CUST000167,Savings,Dormant,19948.71,INR,2020-05-05,Delhi
ACC00000168,CUST000168,Savings,Dormant,106154.56,INR,2025-06-13,Hyderabad
ACC00000169,CUST000169,Salary,Active,57157.57,INR,2021-04-03,Delhi
ACC00000170,CUST000170,Savings,Active,18258.32,INR,2022-05-12,Bengaluru
ACC00000171,CUST000171,Current,Active,86893.05,INR,2022-02-27,Hyderabad
ACC00000172,CUST000172,Savings,Active,195581.79,INR,2022-07-25,Delhi
ACC00000173,CUST000173,Savings,Active,20144.37,INR,2024-06-19,Hyderabad
ACC00000174,CUST000174,Current,Dormant,46117.85,INR,2025-01-07,Hyderabad
ACC00000175,CUST000175,Salary,Active,45159.07,INR,2024-07-23,Mumbai
ACC00000176,CUST000176,Savings,Active,1744.43,INR,2024-02-27,Delhi
ACC00000177,CUST000177,Savings,Active,10933.07,INR,2024-10-17,Mumbai
ACC00000178,CUST000178,Savings,Active,23132.77,INR,2021-04-23,Mumbai
ACC00000179,CUST000179,Savings,Active,81634.74,INR,2024-10-07,Chennai
ACC00000180,CUST000180,Savings,Dormant,69183.92,INR,2024-09-15,Mumbai
ACC00000181,CUST000181,Salary,Active,10851.73,INR,2021-09-06,Delhi
ACC00000182,CUST000182,Salary,Active,108027.03,INR,2020-08-03,Delhi
ACC00000183,CUST000183,Savings,Active,41786.98,INR,2021-02-25,Hyderabad
ACC00000184,CUST000184,Savings,Dormant,9972.64,INR,2023-05-16,Mumbai
ACC00000185,CUST000185,Savings,Dormant,230307.11,INR,2022-03-08,Bengaluru
ACC00000186,CUST000186,Savings,Active,47649.49,INR,2019-11-12,Chennai
ACC00000187,CUST000187,Savings,Active,40815.83,INR,2020-12-14,Delhi
ACC00000188,CUST000188,Savings,Active,101106.92,INR,2022-12-09,Delhi
ACC00000189,CUST000189,Salary,Active,86991.61,INR,2024-01-05,Chennai
ACC00000190,CUST000190,Current,Active,38756.36,INR,2022-10-17,Bengaluru
ACC00000191,CUST000191,Savings,Active,69416.97,INR,2025-06-24,Delhi
ACC00000192,CUST000192,Savings,Active,70635.08,INR,2022-09-16,Delhi
ACC00000193,CUST000193,Current,Active,166721.96,INR,2020-07-03,Chennai
ACC00000194,CUST000194,Savings,Active,39592.58,INR,2024-09-20,Bengaluru
ACC00000195,CUST000195,Salary,Active,24399.5,INR,2022-05-31,Chennai
ACC00000196,CUST000196,Salary,Dormant,33452.67,INR,2025-03-13,Hyderabad
ACC00000197,CUST000197,Savings,Active,20156.92,INR,2025-10-25,Delhi
ACC00000198,CUST000198,Salary,Dormant,34698.38,INR,2021-07-29,Mumbai
ACC00000199,CUST000199,Savings,Active,33053.64,INR,2022-08-03,Hyderabad
ACC00000200,CUST000200,Savings,Active,23212.4,INR,2023-03-13,Mumbai
ACC00000201,CUST000201,Savings,Active,21575.49,INR,2019-08-31,Chennai
ACC00000202,CUST000202,Savings,Active,18978.9,INR,2025-02-01,Bengaluru
ACC00000203,CUST000203,Savings,Active,48369.9,INR,2019-11-29,Chennai
ACC00000204,CUST000204,Savings,Active,98838.77,INR,2023-12-31,Chennai
ACC00000205,CUST000205,Current,Active,36879.0,INR,2021-10-13,Delhi
ACC00000206,CUST000206,Savings,Active,23531.58,INR,2023-08-20,Hyderabad
ACC00000207,CUST000207,Savings,Active,31265.89,INR,2019-08-03,Hyderabad
ACC00000208,CUST000208,Savings,Dormant,71640.1,INR,2020-08-09,Hyderabad
ACC00000209,CUST000209,Savings,Active,32918.67,INR,2025-10-27,Hyderabad
ACC00000210,CUST000210,Savings,Active,45965.11,INR,2020-01-24,Delhi
ACC00000211,CUST000211,Savings,Active,38931.92,INR,2025-12-04,Chennai
ACC00000212,CUST000212,Current,Dormant,56695.72,INR,2024-01-01,Bengaluru
ACC00000213,CUST000213,Current,Active,102456.53,INR,2024-03-15,Delhi
ACC00000214,CUST000214,Savings,Active,92294.98,INR,2019-04-22,Mumbai
ACC00000215,CUST000215,Savings,Active,42885.33,INR,2025-01-12,Bengaluru
ACC00000216,CUST000216,Savings,Active,80703.48,INR,2020-11-27,Delhi
ACC00000217,CUST000217,Savings,Active,23602.1,INR,2020-08-07,Mumbai
ACC00000218,CUST000218,Savings,Active,51463.58,INR,2020-08-30,Bengaluru
ACC00000219,CUST000219,Savings,Dormant,46337.43,INR,2025-12-06,Chennai
ACC00000220,CUST000220,Savings,Dormant,44016.03,INR,2020-08-22,Chennai
ACC00000221,CUST000221,Savings,Active,8231.3,INR,2023-11-28,Chennai
ACC00000222,CUST000222,Current,Active,149851.2,INR,2019-10-12,Delhi
ACC00000223,CUST000223,Savings,Active,34429.37,INR,2025-05-02,Hyderabad
ACC00000224,CUST000224,Savings,Active,7960.69,INR,2022-10-25,Bengaluru
ACC00000225,CUST000225,Savings,Active,12691.5,INR,2023-01-03,Chennai
ACC00000226,CUST000226,Savings,Active,46291.61,INR,2025-04-16,Delhi
ACC00000227,CUST000227,Salary,Dormant,7786.11,INR,2020-10-07,Chennai
ACC00000228,CUST000228,Savings,Active,68635.55,INR,2024-04-05,Bengaluru
ACC00000229,CUST000229,Savings,Active,257186.52,INR,2019-11-10,Bengaluru
ACC00000230,CUST000230,Current,Active,41972.31,INR,2022-10-24,Chennai
ACC00000231,CUST000231,Savings,Dormant,83177.42,INR,2025-11-30,Hyderabad
ACC00000232,CUST000232,Savings,Active,6716.04,INR,2021-09-23,Mumbai
ACC00000233,CUST000233,Savings,Active,42298.14,INR,2019-11-04,Chennai
ACC00000234,CUST000234,Savings,Active,12230.61,INR,2025-11-27,Mumbai
ACC00000235,CUST000235,Savings,Active,13202.34,INR,2021-02-01,Hyderabad
ACC00000236,CUST000236,Savings,Active,30050.85,INR,2025-03-26,Chennai
ACC00000237,CUST000237,Current,Dormant,50113.8,INR,2023-11-17,Chennai
ACC00000238,CUST000238,Savings,Dormant,11685.5,INR,2020-07-06,Chennai
ACC00000239,CUST000239,Current,Active,41188.99,INR,2025-02-17,Hyderabad
ACC00000240,CUST000240,Current,Dormant,23396.88,INR,2020-05-06,Bengaluru
ACC00000241,CUST000241,Savings,Active,41181.26,INR,2021-12-20,Delhi
ACC00000242,CUST000242,Savings,Active,28142.57,INR,2025-08-01,Delhi
ACC00000243,CUST000243,Salary,Active,57961.44,INR,2025-08-02,Chennai
ACC00000244,CUST000244,Savings,Active,20131.14,INR,2022-05-05,Chennai
ACC00000245,CUST000245,Savings,Dormant,5059.0,INR,2023-01-23,Mumbai
ACC00000246,CUST000246,Current,Active,13312.03,INR,2024-09-29,Delhi
ACC00000247,CUST000247,Current,Active,11816.3,INR,2024-09-29,Mumbai
ACC00000248,CUST000248,Current,Dormant,9047.52,INR,2024-06-03,Mumbai
ACC00000249,CUST000249,Salary,Active,159057.16,INR,2022-09-22,Delhi
ACC00000250,CUST000250,Savings,Active,29019.44,INR,2025-10-19,Bengaluru
ACC00000251,CUST000251,Savings,Active,36139.14,INR,2021-04-29,Hyderabad
ACC00000252,CUST000252,Savings,Active,49807.32,INR,2019-10-04,Chennai
ACC00000253,CUST000253,Current,Active,74867.59,INR,2024-07-13,Hyderabad
ACC00000254,CUST000254,Savings,Dormant,23088.33,INR,2020-06-30,Delhi
ACC00000255,CUST000255,Salary,Dormant,43197.64,INR,2020-07-06,Bengaluru
ACC00000256,CUST000256,Current,Active,28698.4,INR,2023-04-02,Chennai
ACC00000257,CUST000257,Savings,Active,22549.06,INR,2023-12-28,Chennai
ACC00000258,CUST000258,Current,Active,34594.7,INR,2021-10-04,Chennai
ACC00000259,CUST000259,Salary,Active,17287.36,INR,2025-12-19,Chennai
ACC00000260,CUST000260,Current,Active,9652.65,INR,2025-06-16,Hyderabad
ACC00000261,CUST000261,Savings,Active,11945.76,INR,2020-11-24,Chennai
ACC00000262,CUST000262,Current,Active,29662.29,INR,2024-10-12,Chennai
ACC00000263,CUST000263,Savings,Active,14097.43,INR,2025-09-26,Delhi
ACC00000264,CUST000264,Savings,Active,17120.59,INR,2025-12-08,Mumbai
ACC00000265,CUST000265,Current,Active,95187.78,INR,2020-02-29,Bengaluru
ACC00000266,CUST000266,Current,Active,89862.11,INR,2025-08-26,Bengaluru
ACC00000267,CUST000267,Salary,Active,28315.68,INR,2023-11-15,Bengaluru
ACC00000268,CUST000268,Savings,Active,2036.8,INR,2025-10-02,Chennai
ACC00000269,CUST000269,Savings,Active,27733.65,INR,2022-12-19,Hyderabad
ACC00000270,CUST000270,Savings,Dormant,23071.4,INR,2022-01-07,Bengaluru
ACC00000271,CUST000271,Savings,Active,14015.84,INR,2022-05-13,Delhi
ACC00000272,CUST000272,Current,Dormant,11473.95,INR,2021-07-06,Chennai
ACC00000273,CUST000273,Savings,Active,29732.72,INR,2019-07-27,Delhi
ACC00000274,CUST000274,Savings,Dormant,283886.22,INR,2025-04-26,Mumbai
ACC00000275,CUST000275,Savings,Active,42431.96,INR,2021-02-17,Bengaluru
ACC00000276,CUST000276,Savings,Active,5852.94,INR,2021-09-18,Delhi
ACC00000277,CUST000277,Salary,Active,25835.28,INR,2024-06-19,Delhi
ACC00000278,CUST000278,Salary,Active,44267.33,INR,2025-08-18,Mumbai
ACC00000279,CUST000279,Current,Active,3729.6,INR,2025-05-31,Bengaluru
ACC00000280,CUST000280,Savings,Active,25452.95,INR,2025-09-13,Bengaluru
ACC00000281,CUST000281,Current,Active,20518.01,INR,2020-07-26,Hyderabad
ACC00000282,CUST000282,Savings,Dormant,44169.94,INR,2020-08-31,Bengaluru
ACC00000283,CUST000283,Salary,Active,37314.91,INR,2021-03-01,Chennai
ACC00000284,CUST000284,Current,Active,19521.75,INR,2023-07-19,Bengaluru
ACC00000285,CUST000285,Salary,Active,849111.11,INR,2023-03-02,Bengaluru
ACC00000286,CUST000286,Savings,Dormant,77879.84,INR,2023-10-04,Chennai
ACC00000287,CUST000287,Savings,Active,26599.3,INR,2021-08-17,Bengaluru
ACC00000288,CUST000288,Salary,Dormant,28827.08,INR,2024-08-24,Chennai
ACC00000289,CUST000289,Salary,Active,4707.67,INR,2020-07-20,Mumbai
ACC00000290,CUST000290,Current,Dormant,17742.09,INR,2024-09-05,Hyderabad
ACC00000291,CUST000291,Savings,Active,49490.73,INR,2024-10-24,Mumbai
ACC00000292,CUST000292,Savings,Active,81958.53,INR,2022-12-08,Hyderabad
ACC00000293,CUST000293,Salary,Dormant,3554.68,INR,2020-09-01,Hyderabad
ACC00000294,CUST000294,Savings,Active,56577.08,INR,2023-11-08,Mumbai
ACC00000295,CUST000295,Savings,Dormant,20035.1,INR,2025-07-09,Mumbai
ACC00000296,CUST000296,Savings,Active,5435.62,INR,2022-05-08,Hyderabad
ACC00000297,CUST000297,Savings,Active,103451.92,INR,2020-11-15,Hyderabad
ACC00000298,CUST000298,Savings,Active,62617.4,INR,2019-07-11,Chennai
ACC00000299,CUST000299,Salary,Active,13299.33,INR,2019-07-29,Mumbai
ACC00000300,CUST000300,Savings,Active,47025.48,INR,2022-09-09,Hyderabad
ACC00000301,CUST000301,Savings,Dormant,12424.08,INR,2025-12-28,Mumbai
ACC00000302,CUST000302,Savings,Active,35628.85,INR,2024-10-05,Delhi
ACC00000303,CUST000303,Current,Active,229256.42,INR,2022-05-31,Bengaluru
ACC00000304,CUST000304,Savings,Active,93942.92,INR,2023-11-23,Delhi
ACC00000305,CUST000305,Salary,Dormant,17139.91,INR,2022-02-12,Delhi
ACC00000306,CUST000306,Savings,Active,30170.27,INR,2022-07-27,Hyderabad
ACC00000307,CUST000307,Savings,Active,179033.75,INR,2024-03-13,Hyderabad
ACC00000308,CUST000308,Savings,Active,16750.53,INR,2024-08-23,Mumbai
ACC00000309,CUST000309,Current,Dormant,112249.08,INR,2022-03-17,Mumbai
ACC00000310,CUST000310,Salary,Active,15220.18,INR,2020-04-07,Delhi
ACC00000311,CUST000311,Salary,Dormant,54356.32,INR,2022-10-08,Hyderabad
ACC00000312,CUST000312,Current,Active,19338.2,INR,2023-10-09,Hyderabad
ACC00000313,CUST000313,Savings,Active,79786.15,INR,2021-04-30,Hyderabad
ACC00000314,CUST000314,Current,Active,64287.82,INR,2023-02-04,Hyderabad
ACC00000315,CUST000315,Current,Active,14763.1,INR,2022-06-17,Bengaluru
ACC00000316,CUST000316,Savings,Active,85328.15,INR,2021-04-29,Delhi
ACC00000317,CUST000317,Current,Active,53491.28,INR,2024-09-04,Hyderabad
ACC00000318,CUST000318,Savings,Active,27572.68,INR,2025-07-09,Mumbai
ACC00000319,CUST000319,Current,Active,8382.27,INR,2020-05-05,Chennai
ACC00000320,CUST000320,Current,Active,84736.44,INR,2021-01-28,Mumbai
ACC00000321,CUST000321,Savings,Active,59460.16,INR,2020-06-20,Mumbai
ACC00000322,CUST000322,Savings,Active,43874.93,INR,2024-09-01,Hyderabad
ACC00000323,CUST000323,Current,Dormant,82692.22,INR,2022-01-05,Delhi
ACC00000324,CUST000324,Savings,Active,35121.71,INR,2025-02-23,Chennai
ACC00000325,CUST000325,Savings,Dormant,20105.48,INR,2025-08-08,Mumbai
ACC00000326,CUST000326,Savings,Dormant,25943.66,INR,2020-09-01,Chennai
ACC00000327,CUST000327,Current,Active,65364.03,INR,2022-03-07,Delhi
ACC00000328,CUST000328,Savings,Active,9206.11,INR,2019-12-20,Bengaluru
ACC00000329,CUST000329,Savings,Dormant,32148.61,INR,2024-11-19,Hyderabad
ACC00000330,CUST000330,Savings,Active,111706.59,INR,2019-07-10,Mumbai
ACC00000331,CUST000331,Current,Active,39818.29,INR,2025-10-18,Chennai
ACC00000332,CUST000332,Savings,Dormant,40681.44,INR,2024-05-07,Hyderabad
ACC00000333,CUST000333,Savings,Active,4190.4,INR,2024-09-24,Hyderabad
ACC00000334,CUST000334,Savings,Active,11515.77,INR,2020-07-22,Mumbai
ACC00000335,CUST000335,Savings,Active,9363.0,INR,2020-02-26,Chennai
ACC00000336,CUST000336,Savings,Active,9636.02,INR,2024-09-27,Bengaluru
ACC00000337,CUST000337,Savings,Active,9912.16,INR,2024-08-21,Chennai
